"District Name, Enrollment, Region"
"Houston ISD,175777,Houston"
"Dallas ISD,139046,Dallas"
"Cypress-Fairbanks ISD,118010,Houston (Northwest)"
"Northside ISD,101095,San Antonio"
"Katy ISD,96119,Katy"
"Fort Bend ISD,80985,Sugar Land"
"IDEA Public Schools,80246,Weslaco (Statewide)"
"Conroe ISD,73380,Conroe"
"Austin ISD,72830,Austin"
"Fort Worth ISD,71060,Fort Worth"
"Frisco ISD,67327,Frisco"
"Aldine ISD,57844,Houston (North)"
"North East ISD,57374,San Antonio"
"Arlington ISD,54750,Arlington"
"Klein ISD,54082,Klein"
"Garland ISD,51659,Garland"
"El Paso ISD,49139,El Paso"
"Lewisville ISD,48440,Lewisville"
"Plano ISD,47899,Plano"
"Pasadena ISD,47486,Pasadena"
"Humble ISD,47460,Humble"
"Socorro ISD,47020,El Paso (Socorro)"
"Round Rock ISD,46197,Round Rock"
"San Antonio ISD,44670,San Antonio"
"Killeen ISD,43760,Killeen"
"Lamar CISD,43620,Rosenberg"
"United ISD,40950,Laredo"
"Alief ISD,39474,Houston (West)"
"Mansfield ISD,35660,Mansfield"
"Ysleta ISD,34918,El Paso (Ysleta)"
"Denton ISD,33670,Denton"
"Ector County ISD,33560,Odessa"
"Spring ISD,33490,Spring"
"Corpus Christi ISD,33053,Corpus Christi"
"Keller ISD,33030,Keller"
"Prosper ISD,30860,Prosper"
"Pharr-San Juan-Alamo ISD,30008,Pharr"
"Amarillo ISD,29729,Amarillo"
"Northwest ISD,29660,Justin/Fort Worth"
"Comal ISD,29480,New Braunfels"
"Edinburg CISD,29450,Edinburg"
"Midland ISD,28340,Midland"
"Mesquite ISD,37900,Mesquite"
"Richardson ISD,36880,Richardson"
"Leander ISD,41920,Leander"
"Grand Prairie ISD,26638,Grand Prairie"
"Carrollton-Farmers Branch ISD,25120,Carrollton"
"Lubbock ISD,24329,Lubbock"
"La Joya ISD,23998,La Joya"
"Eagle Mountain-Saginaw ISD,23870,Fort Worth (North)"
"McKinney ISD,23320,McKinney"
"Birdville ISD,22180,Haltom City"
"Alvin ISD,29320,Alvin"
"Spring Branch ISD,33260,Houston (Spring Branch)"
"Clear Creek ISD,40150,League City"
"Tyler ISD,17890,Tyler"
"Wylie ISD,19530,Wylie"
"Tomball ISD,22530,Tomball"
"Allen ISD,21790,Allen"
"Hurst-Euless-Bedford ISD,21890,Bedford"
"Goose Creek CISD,23810,Baytown"
"Beaumont ISD,16520,Beaumont"
"Rockwall ISD,18650,Rockwall"
"Harmony Public Schools (Combined),38000,Houston/Statewide (Est.)"
"Irving ISD,30580,Irving"
"New Caney ISD,18540,New Caney"
"Georgetown ISD,13670,Georgetown"
"Bryan ISD,15530,Bryan"
"College Station ISD,14080,College Station"
"Waco ISD,14240,Waco"
"Sherman ISD,10650,Sherman"
"Victoria ISD,12890,Victoria"
"Longview ISD,8050,Longview"
"San Angelo ISD,13120,San Angelo"
"Wichita Falls ISD,12980,Wichita Falls"
"Harlingen CISD,17160,Harlingen"
"Weslaco ISD,16040,Weslaco"
"Mission CISD,14020,Mission"
"Brownsville ISD,37065,Brownsville"
"Del Valle ISD,11240,Del Valle"
"Hays CISD,23450,Kyle/Buda"
"Schertz-Cibolo-Universal City ISD,15590,Schertz"
"Judson ISD,25670,Live Oak"
"East Central ISD,11040,San Antonio"
"Bastrop ISD,12940,Bastrop"
"Pflugerville ISD,25480,Pflugerville"
"Lake Travis ISD,11640,Austin (Lake Travis)"
"Eanes ISD,7890,Austin (Westlake)"
"Coppell ISD,13180,Coppell"
"Grapevine-Colleyville ISD,13120,Grapevine"
"Little Elm ISD,8920,Little Elm"
"Crowley ISD,16920,Crowley"
"Burleson ISD,12740,Burleson"
"Forney ISD,16840,Forney"
"Royse City ISD,9430,Royse City"
"Princeton ISD,8720,Princeton"
"Melissa ISD,6250,Melissa"
"Magnolia ISD,14580,Magnolia"
"Waller ISD,9120,Waller"
"Montgomery ISD,9870,Montgomery"
"Channelview ISD,9320,Channelview"
"Crosby ISD,6680,Crosby"
"Dickinson ISD,12340,Dickinson"
"Texas City ISD,7870,Texas City"
"Friendswood ISD,5890,Friendswood"
"Santa Fe ISD,4230,Santa Fe"
"Laredo ISD,20592,Laredo"
"McAllen ISD,20095,McAllen"
"Rio Grande City Grulla ISD,9480,Rio Grande City"
"San Benito CISD,9120,San Benito"
"Donna ISD,13240,Donna"
"Clint ISD,10340,Clint"
"San Marcos CISD,8210,San Marcos"
"Seguin ISD,7140,Seguin"
"Temple ISD,8340,Temple"
"Belton ISD,14140,Belton"
"Copperas Cove ISD,7980,Copperas Cove"
"Midway ISD,8420,Waco (Midway)"
"Abilene ISD,14890,Abilene"
"Texarkana ISD,7230,Texarkana"
