District Name,Official Website,Executive Director Email,Main Phone,Office Address,Dyslexia Coordinator,Autism Specialist,Evaluation Coordinator,Records Clerk,Free Resources
Houston ISD,https://www.houstonisd.org,NOT FOUND,713-556-7025,"Hattie Mae White Educational Support Center, 4400 West 18th Street Houston, Texas 77092-8501",Charachel Gordon,NOT FOUND,NOT FOUND,NOT FOUND,"HISD provides resources to help maintain a child's skills, including free audiobooks and eBooks. The Talking Book Program (TBP) offers free library services for Texans with visual, physical, or reading disabilities."
Dallas ISD,https://www.dallasisd.org,kwilcots@dallasisd.org,(972) 581-4100,"9400 N. Central Expwy, 7th Floor Dallas, Texas 75231",Veronica Allen,NOT FOUND,Naida Vega,NOT FOUND,"Dallas ISD's Social and Emotional Learning Department offers a variety of resources for educators and caregivers to help students and adults thrive, which includes resources for parents and caregivers. The Special Education Information Center (SPEDTex) also provides resources and interactive features for increasing family awareness of disabilities and special education processes."
Cypress-Fairbanks ISD,www.cfisd.net,NOT FOUND,281-897-6400,"Mark Henry Administration Building (MHAB), 11440 Matzke Rd., Cypress, TX 77429",Stefanie Ware,NOT FOUND,NOT FOUND,NOT FOUND,"Cypress-Fairbanks ISD provides special education services to students aged 3-21, and from birth for those with hearing and vision disabilities. They offer in-class support, resource classes, and speech/language support. Additionally, CFISD provides access to resources such as the Parent Guide for Autism Spectrum Disorders, Texas Department of Aging Services, and the U.S. Department of Education."
Northside ISD,www.nisd.net,veronica.mechler@nisd.net,210-397-8742,"5900 Evers Road, San Antonio TX 78238",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,Northside ISD offers free Special Education Training for substitutes who are interested in succeeding with special needs students. They also provide resources for students with disabilities and special health care needs through Navigate Life Texas.
Katy ISD,https://www.katyisd.org,Contact main office,281-396-6000,"6301 S. Stadium Lane, Katy, TX 77494",Contact main office,Contact main office,Contact main office,Jessica Nuncio,"Katy ISD offers resources like the Parent-Directed Special Education Services (PDSES) program, a one-time $1,500 online grant for eligible students receiving special education services, which can be used for educational materials, resources, or specific services such as speech therapy or tutoring. They also provide resources and information to help resolve special education issues."
Fort Bend ISD,www.fortbendisd.com,"Dahria Driskell, Executive Director",(281) 634-1143,"16431 Lexington Blvd. Sugar Land, TX 77479",NOT FOUND,NOT FOUND,"Noelia Castillo, Program Manager for Evaluation and Related Services","Antoinette Adams, Antoinette.Adams@fortbendisd.gov","Fort Bend ISD offers free resources for students with cognitive challenges, including sorting activities, adapted books, folder games, and printables. Visual supports are available to help children with autism decrease anxiety and increase independence."
IDEA Public Schools,ideapublicschools.org,NOT FOUND,956-377-8000,"2115 W. Pike Blvd. Weslaco, TX 78596",NOT FOUND,NOT FOUND,NOT FOUND,"Agustina Montes, Special Programs Administrator Agustina.montes@ideapublicschools.org","IDEA Public Schools provides resources, training, and support for campuses servicing students who are English Language Learners (ELL) and/or receive 504, Homebound, Dyslexia, or Special Education services. They also support the Response to Intervention (RtI) process and campuses that serve students needing specialized remedial curriculum for additional academic support."
Conroe ISD,https://www.conroeisd.net/,kmwiggins@conroeisd.net,936-709-7813,NOT FOUND,Blanca Cuestas,NOT FOUND,Renee Nelson,Dawn Crider,"Conroe ISD offers parent trainings and workshops, parent support, and an annual resource and transition fair through the CISD Parent Resource Center. They also provide a full continuum of services to meet the needs of eligible students."
Austin ISD,https://www.austinisd.org,NOT FOUND,512-414-SPED (7733),NOT FOUND,Suzann Vera,NOT FOUND,NOT FOUND,NOT FOUND,"SPEDTex offers information for families and educators, including FAQs, parent training, and resources. The Talking Book Program (TBP) provides audio books at no cost for students identified with dyslexia or related disorders."
Fort Worth ISD,www.fwisd.org,audrey.thomas@fwisd.org,817-814-2830,"7060 Camp Bowie Blvd. Fort Worth, TX 76116",NOT FOUND,"Michelle Raymond, Family Support Specialist",Elizabeth Nipper,Sandra Cruz,"Fort Worth ISD provides exceptional learners with services and supports fostering academic excellence, individualized care, evidence-based practices, and early intervention, creating a safe and inclusive environment that promotes resilience and confidence. They also offer parent autism training from Texas A&M."
Frisco ISD,https://www.friscoisd.org,NOT FOUND,469.633.6000,"5515 Ohio Drive Frisco, Texas 75035",Lesha Stallons,NOT FOUND,Jennifer Vasquez,Special Education Clerk,"Frisco ISD offers a Parent Sanctuary and Lending Library with books, sensory kits, weighted items, games, activities, visuals, strategies, and local resources for parents and educators. They also provide access to guides for navigating the Frisco ISD system, referencing local operating guidelines and Texas Framework compliance."
Aldine ISD,https://www.aldineisd.org,tybailey@aldineisd.org,281.985.6053,"15010 Aldine Westfield Road Houston, TX 77032","Kimberly Sinclair, Program Manager for Dyslexia Instruction",NOT FOUND,NOT FOUND,NOT FOUND,"Aldine ISD Special Education Department provides high-quality specially designed instruction and equitable access to exceptional learners to prepare them for college, career, or home and community-based services. They also administer quality assessments, maintain compliance, and implement research-based instructional, social, and emotional strategies to meet each student's individual needs."
North East ISD,https://www.neisd.net,NOT FOUND,210-407-0185,"8961 Tesoro Drive, 5th Floor San Antonio, Texas 78217",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"NEISD offers free special education services and supports to eligible students, as determined by an ARD committee, and provides resources like the Texas Transition and Employment Guide, community resources, and Supplemental Special Education Services (SSES) Grant Information."
Arlington ISD,https://www.aisd.net/,cbrown1@aisd.net,(682) 867-7690,"690 E. Lamar Blvd. Arlington, TX 76011",Felicia Scruggs,NOT FOUND,NOT FOUND,Yvette Turner,Arlington ISD provides support and devices free of charge to special education students. The Special Education Information Center (SPEDTex) also offers resources and interactive features to increase family awareness of disabilities and special education processes.
Klein ISD,https://kleinisd.net,NOT FOUND,(832) 249-4000,"7200 Spring Cypress Road Klein, TX 77379","Tiffani Burroughs, Melanie Willis, Laura Garcia, Wanda Davis, Heidy Huertas",NOT FOUND,Jessica Hackney,NOT FOUND,Klein ISD ensures a Free and Appropriate Public Education (FAPE) for children needing special education. The Special Education Information Center (SPEDTex) offers resources and interactive features to increase family awareness of disabilities and special education processes.
Garland ISD,www.garlandisd.net,NOT FOUND,972-487-3300,"Harris Hill Administration Building, 501 S. Jupiter Rd., Garland, TX 75042",Stephanie Clark,NOT FOUND,Chastity Jackson,NOT FOUND,"Garland ISD offers free special education services to eligible students residing within the district boundaries, including evaluations and individualized programs. They also provide resources and support through parent education workshops, in-home and community-based training, and transition services."
El Paso ISD,www.episd.org,NOT FOUND,915-230-2000,"1014 N. Stanton St. El Paso, TX 79902","Lorraine Valdez, Lead Dyslexia Instructional Coach",Adriana Rodriguez,NOT FOUND,NOT FOUND,"El Paso ISD offers resources such as Texas Parent to Parent, which provides support and information for families of children and adults with disabilities, and SPEDTex, which offers information to help understand a child's disability and rights under IDEA. A one-time $1,500 online grant is available for parents/guardians of eligible students served by special education and who are enrolled in a Texas public school."
Lewisville ISD,https://www.lisd.net/,spedquestions@lisd.net,(469) 713-5203,"400A High School Dr., Lewisville, TX 75057",NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,"LISD offers free programs to eligible families with children receiving Special Education services, including family counseling, parenting resource groups, youth social skills groups, and FOCUS Nights for families of children with Autism Spectrum Disorder."
Plano ISD,https://www.pisd.edu,NOT FOUND,469-752-8240,"2700 W 15th Street Plano, TX 75075",NOT FOUND,NOT FOUND,NOT FOUND,Betty Copeland,"Plano ISD is actively involved with ""child find"" efforts to ensure that children with learning challenges have access to evaluations and services, when appropriate. The Parent-Directed Special Education Services (PDSES) program offers a one-time $1,500 online grant for parents/guardians of eligible students served by special education."
