District,Attorney Name,Law Firm,Website,Phone Number,City
Houston ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlawpllc.com/,,Katy
Houston ISD,,Filis Law Firm,https://houstonspecialneedsattorneys.com/,713-462-1777,Houston
Houston ISD,,Bivona Law,,713-360-7596,Houston
Houston ISD,Kevin and Liz Shields,Shields Law,https://www.shieldslawtexas.com/,,Houston
Houston ISD,,Tritico Law,,,Houston
Dallas ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",unavailable,unavailable,Dallas
Dallas ISD,Sharon Ramage,unavailable,unavailable,972-562-9890,Greater Dallas-Fort Worth area
Dallas ISD,Kevin and Liz Shields,Shields Law,unavailable,unavailable,unavailable
Dallas ISD,unavailable,"Burns Allen, PLLC",unavailable,214.612.6168,Dallas
Cypress-Fairbanks ISD,Kevin and Liz Shields,Shields Law,unavailable,unavailable,unavailable
Cypress-Fairbanks ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,unavailable
Cypress-Fairbanks ISD,Goz Odediran,Odediran Law Firm,unavailable,unavailable,unavailable
Northside ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlawpllc.com/,,Katy
Northside ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Northside ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Northside ISD,Kevin and Liz Shields,Shields Law,,,
Northside ISD,Roy Atwood,Atwood Gameros LLP,,,
Katy ISD,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Katy ISD,Kevin Shields,Shields Law Firm,,(832) 532-6707,Katy
Katy ISD,Alicia Tucker,,,+1 713-725-5982,Houston
Fort Bend ISD,Kristin Tassin,Dry & Tassin,,,Missouri City
Fort Bend ISD,,Odediran Law Firm,http://www.edurightslaw.com,512-886-5069,Austin
Fort Bend ISD,Boyd Handley,"The Handley Law Office, PLLC",,281.703.3616,
IDEA Public Schools,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
IDEA Public Schools,,Atwood Gameros LLP,,,
IDEA Public Schools,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
IDEA Public Schools,Kevin and Liz Shields,Shields Law,,,
IDEA Public Schools,Jennifer Swanson,"Swanson Law, PLLC",,,Katy
Conroe ISD,Sharon Ramage,The Ramage Law Group,http://www.texasspecialeducationattorney.com,(972) 562-9890,Texas (statewide)
Conroe ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",No website found,No phone number found,Conroe
Conroe ISD,Kevin and Liz Shields,Shields Law,No website found,No phone number found,Houston
Austin ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQENTNN-itHideJ-CNfjLoK5Zy3T4sJnQonrK2Bwjf7vuKyFzhE_dEun6txK-3gBbiFEzEfuQclgCO4O2YcBRi40g-XSWFDi4ulip1uOp035KICxeUHbEt2SSaEVQmbwk1usboqGj4-0KNZ4stWkuG5I5x9IdXSbYw==,512-649-3191,Austin
Austin ISD,Not specified,"Cirkiel Law Group, P.C.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGBKp5qzEiDma7X6ZglIkMHa8EWSKGnAYrAUJ1eUr2W3BmFxXV4fFAvpdNJDAAatcLMpQ1g71aKeIYic2MdKnTzhnXgrUs618oWCCXooviQLDios94w,512-244-6658,Austin
Austin ISD,Holly Boyd Wardell,"Eichelbaum Wardell Hansen Powell & Muñoz, P.C",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFXrIDmQ6B4cPly9JtmCt9ucgFpQvt5-dXs5XLlyy1mBkGk8HPCv_eB9BSe3x3UjD655yhIvCfMsGvzRRsbiPrvLNgn-10RHkqGyz2vSiiEfQYld1hhS7L1BL_CItiq_aINCz9Zgy6IaPjvY59ODxbchgvKhRJw-X-U_cg=,512-476-9944,Austin
Austin ISD,Not specified,Ryan Law PLLC,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG_yGbm_AxdZXXEdNEYiviRTKnG6BxZ6oVW0kC2kKswRmDt9asB1VRTb8FB3LVykcdWjEW3qh3Yy9IhkPgF3-31Gud7AnZn25tPmr1JYRAE5Hz8vlADnCLCuIGWGWgdCn9FoJ8Y,Not specified,Austin
Fort Worth ISD,Sharon Ramage,Child Rights Attorneys,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHXQhyaiKz7z3NdLsrwBxuoY58t8Y3TgKs9tDpQybkRNUj6O4i1zdbadmf06HSEUrV-EliPRosLv05UNnXd4qFp-Uks6zeffAaIaz9IHNae3Fd3s32ogezyxYYAiARcbb1fWttsNw==,972-562-9890,Greater Dallas-Fort Worth area
Fort Worth ISD,Kendra Yoch,Thompson & Horton,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQESDD5dBNZRg5nLTphVbJiD-Mfqs8i5MraAQEvkg3j761RHY0sKlmWZPU4wtvDGQE_fGz50M66EIoq3wKAonv1jHPAmb_EeokBR31k6Q-iAavUAnxaXiK6QYXP3iPwXxWNuSTfEZwjGioVgHe3V1q8zjSefHBLO1q-i33BxQqhQyoh1RVWI_VHb0yI=,713-554-6767,Houston
Fort Worth ISD,Kendra Yoch,Thompson & Horton,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQESDD5dBNZRg5nLTphVbJiD-Mfqs8i5MraAQEvkg3j761RHY0sKlmWZPU4wtvDGQE_fGz50M66EIoq3wKAonv1jHPAmb_EeokBR31k6Q-iAavUAnxaXiK6QYXP3iPwXxWNuSTfEZwjGioVgHe3V1q8zjSefHBLO1q-i33BxQqhQyoh1RVWI_VHb0yI=,512-615-2350,Austin
Frisco ISD,Janelle Davis,Janelle L. Davis Law PLLC,,,Frisco
Frisco ISD,,Marx Law Firm,,,Frisco
Aldine ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Aldine ISD,Roy Atwood,Atwood Gameros LLP,,,North Texas
Aldine ISD,Attorney Swanson,"Swanson Law, PLLC",,,Katy
Aldine ISD,,"Burns Allen, PLLC",,214.612.6168 (Dallas),
Aldine ISD,,K Altman Law,,,
North East ISD,Jennifer Swanson,"Swanson Law, PLLC",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHXI0EEyqd3uZtu7NuDUDfmD_v3duCd4Zhfs0uLSAVCmagY3Ed5BMFpwKXH2DoZ1paqJSLEYJpYNJV3WteO9XN4Ffx-5N5aZJtnPDb-XNSCPefG2U78iaomCxs_FF1xxJOv7Ft01rA8il1DisyAlFN1XI_jNROv_yP5iz4AkXuzxci8EXQqeQ==,,Katy
North East ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,San Antonio
North East ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,Dallas-Fort Worth Area
North East ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
North East ISD,,"Burns Allen, PLLC",,214.612.6168,Dallas
Arlington ISD,Janelle Davis,Janelle Davis Law PLLC,,,
Arlington ISD,Andrea Mooney,"Eichelbaum Wardell Hansen Powell & Munoz, P.C.",https://www.ewlaw.com/,(512) 476-9944,Austin
Arlington ISD,Amy Foster,"Eichelbaum Wardell Hansen Powell & Munoz, P.C.",https://www.ewlaw.com/,(512) 476-9944,Austin
Arlington ISD,Lisa Jamieson,"Bourland, Wall & Wenzel, P.C.",,,
Klein ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Dallas-Fort Worth area
Klein ISD,Kevin and Liz Shields,Shields Law,,,
Klein ISD,Goz Odediran,Odediran Law Firm,,,
Garland ISD,Jennifer Swanson,"Swanson Law, PLLC",https://www.swansonlegal.com/,,Katy
Garland ISD,Kendra Yoch,Thompson & Horton,https://www.thompsonhorton.com/,713-554-6767,Houston
Garland ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Garland ISD,Kevin and Liz Shields,Shields Law,,,
Garland ISD,Roy Atwood,Atwood Gameros LLP,,,
El Paso ISD,Sharon Ramage,"Naman, Howell, Smith & Lee, PLLC",,,El Paso
El Paso ISD,Keith Altman,"The Law Office of Keith Altman, PLLC",,,El Paso
El Paso ISD,,"Education Litigation Group, LLC",,,
El Paso ISD,,LLF National Law Firm,,888-535-3686,El Paso
El Paso ISD,Ruben Ortiz,Law Offices of Ruben Ortiz,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQExqe7XUSkVbz0B_XQroFXaymh81VxbtLD8Wf10av4Ji3O1ryAO7BzVGhWV61JmIo2SxONnQnHKxgu4Rj9expRGeELo2h6fNJ0yGVn628oTQAV8aPDRedaSKajiDqau9NmFQWzUBxojxqJhRvbRb6I6TMWywFjB6MG6VgkG8bvUFQpio8KWNoDGBFTF,915-308-8850,El Paso
Lewisville ISD,Karl Tiger Hanner,Attorney at Law,,,Austin
Lewisville ISD,Nona Matthews,,,,Irving
Lewisville ISD,Meredith Walker,,,,Irving
Lewisville ISD,,Lento Law Firm,,888-535-3686,
Plano ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,McKinney
Plano ISD,Kevin and Liz Shields,Shields Law,https://shieldslawfirm.com/,,
Plano ISD,Roy Atwood,Atwood Gameros LLP,https://atwoodgameros.com/,,
Pasadena ISD,Kevin Shields,Shields Law,https://www.shieldslaw.com/,(832) 422-7333,Houston
Pasadena ISD,Ayesha Mutope-Johnson,,,(713) 529-9092,Houston
Pasadena ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,(972) 562-9890,
Pasadena ISD,Goz Odediran,Odediran Law Firm,,,
Humble ISD,Sharon Ramage,The Ramage Law Group,www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Humble ISD,Roy Atwood,Atwood Gameros LLP,,,Texas
Humble ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",,512-649-3191,Austin
Humble ISD,,Shields Law,,,"Houston, Katy, San Antonio"
Socorro ISD,Sharon Ramage,The Ramage Law Group,https://www.texasspecialeducationattorney.com,972-562-9890,Greater Dallas-Fort Worth area
Socorro ISD,Elizabeth Angelone,"Cuddy Law Firm, P.L.L.C",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEySfCL4QM1sCGtQ7mJup_LcRnHIJ_DfIbhVhJTsYrbw800mFgGj9ZP9h9Sr2DKqmZiAjFh1g6EGjKlSuEwSKY77jlRER88zfgzN6OpbVCwAZA-RkYW_LtqV4lBaxCbT08AyF232TKARzgnnmPNbxZ9wwoJiJFZlw==,512-649-3191,Austin
Socorro ISD,Jennifer Swanson,"Swanson Law, PLLC",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEgulLrX1YTRoL5fbiNYESr3jm2fMUEr3p-J_cwXNemdvMvb5rMYlxbnPqMoyruhbZhUSr4FDQx0xPA7baL_IIHg-lGe_mDDfjorckoEbbLjZGME1il6noTUoeQoivUd-kyh1rlr8pL_LxQkp8EtLIlSjUvDXw=,,Katy
Socorro ISD,Kevin and Liz Shields,Shields Law,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEY043XaCUEq3Z3V_10M9NLln-Ch5A4pVFcdX3JUGAvbTXV3UPwOvo-Xw9z3IyVhMiurndYb4L1353gIOrWB7ijpw7T0TwADqf0Y5xryZE77ONvoQ==,,Statewide Texas
